booking_id,user_id,place_of_visit,duration_of_visit,start_date,end_date,overall_budget
152,490,Jaipur,11,2023-09-04,2023-09-15,INR 30199
153,443,Sydney,13,2024-05-30,2024-06-12,INR 74214
154,409,Varanasi,12,2024-10-09,2024-10-21,INR 143651
155,370,Singapore,8,2025-02-07,2025-02-15,INR 10929
156,387,Agra,2,2025-03-29,2025-03-31,INR 53569
157,857,Shimla,12,2023-10-11,2023-10-23,INR 43080
158,837,London,7,2023-12-28,2024-01-04,INR 13752
159,402,Mysore,5,2024-01-22,2024-01-27,INR 135651
160,40,Shimla,14,2024-09-29,2024-10-13,INR 105683
161,787,Singapore,4,2024-07-31,2024-08-04,INR 69123
162,429,Goa,13,2024-03-14,2024-03-27,INR 136306
163,794,Bali,10,2025-06-01,2025-06-11,INR 105916
164,484,Agra,14,2025-05-23,2025-06-06,INR 126385
165,629,Rome,12,2024-08-28,2024-09-09,INR 8856
166,748,Bangkok,10,2024-11-18,2024-11-28,INR 103750
167,937,Bali,14,2024-10-04,2024-10-18,INR 56568
168,95,Manali,7,2024-05-29,2024-06-05,INR 89953
169,158,Bali,9,2025-05-18,2025-05-27,INR 21459
170,591,Dubai,6,2025-06-23,2025-06-29,INR 119447
171,253,Shimla,8,2023-09-22,2023-09-30,INR 111356
172,50,Mysore,12,2025-01-12,2025-01-24,INR 85620
173,279,New York,10,2024-09-27,2024-10-07,INR 99298
174,17,Dubai,15,2025-04-03,2025-04-18,INR 36641
175,439,Agra,12,2025-06-03,2025-06-15,INR 79270
176,611,Goa,2,2024-06-09,2024-06-11,INR 66883
177,116,Bali,12,2024-02-02,2024-02-14,INR 43030
178,20,New York,15,2024-11-25,2024-12-10,INR 63892
179,858,Goa,8,2025-01-19,2025-01-27,INR 44252
180,418,Agra,9,2025-03-05,2025-03-14,INR 45681
181,381,Goa,15,2025-01-21,2025-02-05,INR 81050
182,491,Rishikesh,9,2025-07-22,2025-07-31,INR 59535
183,316,Dubai,10,2025-05-18,2025-05-28,INR 149242
184,666,Sydney,11,2024-01-08,2024-01-19,INR 135940
185,938,Sydney,4,2023-09-17,2023-09-21,INR 96454
186,802,New York,7,2024-05-09,2024-05-16,INR 19862
187,660,Varanasi,5,2023-08-11,2023-08-16,INR 46603
188,452,Shimla,15,2024-07-21,2024-08-05,INR 5170
189,891,Rishikesh,13,2025-04-15,2025-04-28,INR 77416
190,295,Tokyo,5,2024-03-11,2024-03-16,INR 64025
191,76,Tokyo,5,2025-04-23,2025-04-28,INR 122870
192,429,New York,13,2024-07-12,2024-07-25,INR 148268
193,884,Kerala,10,2023-10-03,2023-10-13,INR 26702
194,380,Tokyo,13,2025-02-21,2025-03-06,INR 110703
195,850,Agra,15,2023-11-17,2023-12-02,INR 36139
196,313,New York,12,2023-12-09,2023-12-21,INR 31215
197,708,Tokyo,11,2023-08-28,2023-09-08,INR 26368
198,461,Leh,7,2024-01-14,2024-01-21,INR 118784
199,971,New York,5,2024-12-22,2024-12-27,INR 124526
200,203,Manali,2,2025-07-29,2025-07-31,INR 12191
201,255,Kerala,2,2025-03-17,2025-03-19,INR 87462
202,306,Rishikesh,9,2025-03-17,2025-03-26,INR 104569
203,772,Dubai,15,2025-01-23,2025-02-07,INR 63886
204,8,Varanasi,6,2024-01-17,2024-01-23,INR 122937
205,936,Rishikesh,9,2024-06-13,2024-06-22,INR 85633
206,637,Manali,3,2024-05-10,2024-05-13,INR 134222
207,956,Kerala,13,2025-05-26,2025-06-08,INR 146081
208,945,Shimla,2,2024-08-08,2024-08-10,INR 85360
209,181,New York,2,2023-08-21,2023-08-23,INR 52189
210,827,Bangkok,12,2025-03-17,2025-03-29,INR 128478
211,611,Paris,10,2025-07-02,2025-07-12,INR 49310
212,138,Agra,4,2024-06-01,2024-06-05,INR 123693
213,783,Jaipur,13,2024-07-08,2024-07-21,INR 125547
214,826,Leh,15,2025-01-20,2025-02-04,INR 90494
215,526,Kerala,2,2025-05-20,2025-05-22,INR 119747
216,221,New York,5,2024-06-06,2024-06-11,INR 140813
217,826,Dubai,10,2024-10-27,2024-11-06,INR 85959
218,987,Paris,5,2023-10-28,2023-11-02,INR 19459
219,275,Rishikesh,7,2023-10-15,2023-10-22,INR 146134
220,549,New York,2,2024-08-15,2024-08-17,INR 130659
221,895,Rishikesh,10,2024-08-16,2024-08-26,INR 11110
222,972,Sydney,15,2024-01-31,2024-02-15,INR 97019
223,546,Sydney,13,2023-11-01,2023-11-14,INR 21299
224,893,Kerala,6,2024-09-30,2024-10-06,INR 144307
225,240,Leh,15,2024-03-23,2024-04-07,INR 14436
226,557,Bangkok,5,2023-10-02,2023-10-07,INR 104838
227,642,Bali,3,2023-10-24,2023-10-27,INR 37655
228,605,London,4,2023-11-19,2023-11-23,INR 49520
229,174,London,10,2025-02-10,2025-02-20,INR 126602
230,236,New York,14,2025-02-25,2025-03-11,INR 17723
231,198,Bangkok,10,2024-07-19,2024-07-29,INR 85646
232,310,Kerala,15,2024-07-07,2024-07-22,INR 6395
233,145,Rome,10,2024-03-19,2024-03-29,INR 47914
234,687,Bali,6,2024-02-24,2024-03-01,INR 122694
235,474,Singapore,4,2024-07-12,2024-07-16,INR 76444
236,266,Bali,9,2024-04-29,2024-05-08,INR 18230
237,693,Manali,13,2025-07-23,2025-08-05,INR 74034
238,533,Bali,8,2024-04-08,2024-04-16,INR 42568
239,806,Mysore,9,2024-03-07,2024-03-16,INR 71800
240,5,Manali,5,2023-12-29,2024-01-03,INR 108244
241,67,Bali,6,2023-10-19,2023-10-25,INR 76508
242,942,New York,9,2024-12-23,2025-01-01,INR 112645
243,529,New York,5,2025-01-03,2025-01-08,INR 62943
244,827,Kerala,5,2024-12-18,2024-12-23,INR 78986
245,214,Dubai,8,2025-08-04,2025-08-12,INR 53082
246,262,Sydney,7,2024-04-17,2024-04-24,INR 149298
247,863,Singapore,3,2024-12-13,2024-12-16,INR 114403
248,110,Jaipur,14,2023-11-08,2023-11-22,INR 71342
249,21,Jaipur,13,2024-06-09,2024-06-22,INR 34567
250,183,Goa,4,2025-01-12,2025-01-16,INR 124376
251,358,Rishikesh,5,2024-01-10,2024-01-15,INR 9327
252,714,Bali,10,2024-04-17,2024-04-27,INR 100655
253,776,Agra,12,2025-08-04,2025-08-16,INR 86376
254,915,Bangkok,10,2024-07-01,2024-07-11,INR 80795
255,601,Rishikesh,12,2024-12-29,2025-01-10,INR 59832
256,343,Varanasi,8,2025-06-03,2025-06-11,INR 53414
257,460,Bangkok,6,2023-10-14,2023-10-20,INR 30422
258,249,Mysore,2,2023-08-15,2023-08-17,INR 23587
259,789,Mysore,15,2024-05-06,2024-05-21,INR 149212
260,545,Agra,4,2024-04-28,2024-05-02,INR 37285
261,813,Shimla,9,2024-08-06,2024-08-15,INR 140809
262,358,Tokyo,6,2023-10-13,2023-10-19,INR 32864
263,238,London,12,2023-11-06,2023-11-18,INR 127719
264,891,New York,8,2024-06-29,2024-07-07,INR 69930
265,162,New York,7,2025-01-29,2025-02-05,INR 84897
266,564,Singapore,2,2024-02-15,2024-02-17,INR 121388
267,372,Rishikesh,8,2024-12-07,2024-12-15,INR 49066
268,218,Tokyo,5,2025-04-28,2025-05-03,INR 51811
269,817,Sydney,4,2023-08-23,2023-08-27,INR 63128
270,540,Jaipur,9,2024-11-10,2024-11-19,INR 26555
271,370,Jaipur,7,2023-09-05,2023-09-12,INR 82159
272,661,Goa,11,2024-05-07,2024-05-18,INR 93561
273,972,London,3,2025-05-13,2025-05-16,INR 62645
274,172,London,3,2023-09-21,2023-09-24,INR 101641
275,188,Mysore,5,2024-05-04,2024-05-09,INR 123395
276,760,Varanasi,7,2023-09-10,2023-09-17,INR 50675
277,505,Manali,14,2025-08-04,2025-08-18,INR 89748
278,487,Bali,6,2024-02-05,2024-02-11,INR 69878
279,246,Agra,13,2024-05-09,2024-05-22,INR 94386
280,844,Mysore,5,2024-12-02,2024-12-07,INR 121684
281,253,Singapore,11,2025-01-07,2025-01-18,INR 27534
282,805,Bangkok,13,2024-04-10,2024-04-23,INR 95141
283,762,Dubai,4,2025-01-18,2025-01-22,INR 12132
284,568,Leh,6,2024-02-03,2024-02-09,INR 87022
285,757,Rome,8,2024-10-13,2024-10-21,INR 116566
286,415,Varanasi,9,2025-03-16,2025-03-25,INR 37625
287,869,Tokyo,5,2024-09-03,2024-09-08,INR 104191
288,706,Manali,3,2024-01-18,2024-01-21,INR 93966
289,93,London,7,2023-11-01,2023-11-08,INR 67978
290,347,Dubai,14,2024-07-06,2024-07-20,INR 110126
291,488,Bali,3,2024-06-14,2024-06-17,INR 49078
292,164,Rome,3,2023-08-11,2023-08-14,INR 34293
293,865,Manali,15,2023-11-22,2023-12-07,INR 104473
294,261,Sydney,3,2024-05-27,2024-05-30,INR 88844
295,690,Jaipur,15,2024-11-05,2024-11-20,INR 127251
296,326,Sydney,15,2024-01-02,2024-01-17,INR 25731
297,209,Varanasi,13,2023-10-05,2023-10-18,INR 53501
298,517,Goa,12,2023-12-06,2023-12-18,INR 19433
299,188,Dubai,3,2024-09-01,2024-09-04,INR 61663
300,312,Bali,13,2025-06-24,2025-07-07,INR 97491
301,694,Manali,6,2023-11-27,2023-12-03,INR 69671
302,462,Bangkok,13,2024-10-27,2024-11-09,INR 130920
303,463,Dubai,13,2025-07-27,2025-08-09,INR 89168
304,38,London,14,2024-02-06,2024-02-20,INR 95468
305,437,Bangkok,10,2025-06-18,2025-06-28,INR 45884
306,863,Kerala,10,2024-12-04,2024-12-14,INR 127143
307,315,Bali,2,2023-12-06,2023-12-08,INR 110986
308,400,Goa,6,2024-01-29,2024-02-04,INR 127704
309,486,Dubai,9,2025-04-11,2025-04-20,INR 140718
310,223,New York,7,2023-12-16,2023-12-23,INR 132754
311,889,Varanasi,11,2024-01-15,2024-01-26,INR 89632
312,719,Goa,11,2024-12-15,2024-12-26,INR 76210
313,47,Varanasi,7,2023-08-16,2023-08-23,INR 147718
314,612,Agra,4,2024-07-23,2024-07-27,INR 138731
315,688,Manali,11,2024-04-11,2024-04-22,INR 122279
316,746,Shimla,4,2025-03-16,2025-03-20,INR 8355
317,774,Rome,14,2024-07-23,2024-08-06,INR 141779
318,900,Leh,13,2024-08-13,2024-08-26,INR 144765
319,174,Varanasi,9,2024-12-26,2025-01-04,INR 46573
320,439,Rishikesh,12,2025-04-18,2025-04-30,INR 48634
321,355,Rishikesh,13,2024-11-01,2024-11-14,INR 40741
322,973,Kerala,2,2024-08-18,2024-08-20,INR 38236
323,470,Dubai,12,2025-06-23,2025-07-05,INR 44459
324,679,Kerala,13,2023-11-05,2023-11-18,INR 103594
325,702,Goa,4,2023-12-13,2023-12-17,INR 70153
326,270,Tokyo,8,2025-03-28,2025-04-05,INR 34149
327,363,Mysore,13,2024-02-16,2024-02-29,INR 9815
328,231,Goa,7,2024-05-16,2024-05-23,INR 89060
329,321,Tokyo,9,2024-06-19,2024-06-28,INR 10984
330,569,Leh,14,2024-07-31,2024-08-14,INR 138150
331,327,Mysore,4,2025-03-11,2025-03-15,INR 48518
332,424,Paris,13,2025-06-25,2025-07-08,INR 128846
333,757,Bangkok,2,2024-08-10,2024-08-12,INR 107337
334,489,Bangkok,13,2023-12-10,2023-12-23,INR 46348
335,454,Varanasi,7,2025-03-11,2025-03-18,INR 103912
336,861,Tokyo,3,2024-06-10,2024-06-13,INR 111876
337,666,Mysore,4,2025-05-09,2025-05-13,INR 133241
338,438,Dubai,14,2025-03-28,2025-04-11,INR 120860
339,3,Jaipur,7,2025-03-03,2025-03-10,INR 42996
340,340,Sydney,10,2023-09-23,2023-10-03,INR 92132
341,854,Shimla,6,2025-08-08,2025-08-14,INR 130285
342,565,Paris,5,2025-03-30,2025-04-04,INR 72878
343,213,Shimla,11,2024-08-22,2024-09-02,INR 80276
344,202,Bali,9,2023-11-23,2023-12-02,INR 67701
345,762,Paris,3,2024-04-01,2024-04-04,INR 42813
346,520,Mysore,10,2024-11-14,2024-11-24,INR 61754
347,375,Paris,13,2024-12-23,2025-01-05,INR 149696
348,43,New York,12,2023-09-16,2023-09-28,INR 127160
349,903,Agra,14,2023-09-11,2023-09-25,INR 20329
350,197,London,14,2025-02-08,2025-02-22,INR 44959
351,445,Rishikesh,11,2023-09-27,2023-10-08,INR 113763
352,387,Agra,10,2024-02-21,2024-03-02,INR 120562
353,420,London,2,2024-04-05,2024-04-07,INR 98426
354,135,Manali,2,2024-09-30,2024-10-02,INR 87791
355,51,Manali,4,2024-09-22,2024-09-26,INR 84070
356,490,Bali,11,2024-05-04,2024-05-15,INR 91982
357,271,Rishikesh,13,2023-08-26,2023-09-08,INR 51327
358,408,Bali,5,2024-08-03,2024-08-08,INR 44920
359,603,Singapore,15,2024-10-02,2024-10-17,INR 111257
360,309,Kerala,12,2025-04-23,2025-05-05,INR 106138
361,985,Sydney,13,2024-03-23,2024-04-05,INR 121624
362,192,Shimla,4,2025-04-30,2025-05-04,INR 113325
363,419,Shimla,13,2024-09-01,2024-09-14,INR 86118
364,443,Agra,14,2024-06-28,2024-07-12,INR 107334
365,206,Bangkok,10,2023-11-03,2023-11-13,INR 49388
366,951,Leh,9,2024-04-11,2024-04-20,INR 54187
367,734,Manali,4,2023-12-06,2023-12-10,INR 54760
368,74,Shimla,3,2023-10-07,2023-10-10,INR 68412
369,646,Bali,5,2025-05-01,2025-05-06,INR 65471
370,467,Bali,9,2025-08-06,2025-08-15,INR 52072
371,432,Sydney,12,2025-04-28,2025-05-10,INR 13623
372,323,London,13,2024-02-12,2024-02-25,INR 135353
373,103,Bangkok,11,2024-10-05,2024-10-16,INR 142537
374,253,Mysore,8,2025-06-23,2025-07-01,INR 52587
375,438,Dubai,2,2025-02-10,2025-02-12,INR 53014
376,178,Singapore,7,2025-01-18,2025-01-25,INR 107030
377,899,Singapore,15,2025-07-28,2025-08-12,INR 108137
378,259,Kerala,5,2023-10-10,2023-10-15,INR 128622
379,827,Agra,3,2025-03-08,2025-03-11,INR 13210
380,96,New York,13,2024-03-28,2024-04-10,INR 136314
381,405,Bali,11,2024-04-21,2024-05-02,INR 53168
382,173,Rome,12,2024-05-27,2024-06-08,INR 62441
383,695,Sydney,14,2023-10-11,2023-10-25,INR 73564
384,498,Rome,4,2024-05-06,2024-05-10,INR 71308
385,218,Tokyo,14,2023-08-23,2023-09-06,INR 117196
386,560,Manali,5,2024-07-13,2024-07-18,INR 45365
387,994,Bali,4,2024-12-20,2024-12-24,INR 88039
388,436,Rome,15,2024-09-26,2024-10-11,INR 135725
389,294,Rome,2,2025-02-19,2025-02-21,INR 140362
390,53,Sydney,15,2025-06-14,2025-06-29,INR 47805
391,250,Rishikesh,3,2025-06-26,2025-06-29,INR 100745
392,126,London,9,2025-05-07,2025-05-16,INR 88524
393,413,Jaipur,6,2024-02-26,2024-03-03,INR 91956
394,630,Leh,3,2024-12-07,2024-12-10,INR 50629
395,791,Leh,2,2023-11-13,2023-11-15,INR 25053
396,707,Varanasi,10,2023-09-19,2023-09-29,INR 140718
397,657,Manali,15,2024-12-31,2025-01-15,INR 13521
398,56,Bali,15,2025-03-26,2025-04-10,INR 92880
399,94,Goa,11,2024-05-25,2024-06-05,INR 137545
400,512,Rishikesh,4,2023-10-09,2023-10-13,INR 119799
401,345,Manali,2,2025-03-25,2025-03-27,INR 137992
402,533,Rome,11,2024-09-18,2024-09-29,INR 85838
403,399,Agra,3,2023-11-02,2023-11-05,INR 116838
404,908,Goa,15,2025-01-28,2025-02-12,INR 10889
405,309,Goa,2,2025-06-11,2025-06-13,INR 8291
406,536,Rome,3,2025-05-10,2025-05-13,INR 31616
407,96,New York,13,2025-03-24,2025-04-06,INR 83374
408,829,Dubai,13,2025-02-12,2025-02-25,INR 31722
409,967,Rishikesh,12,2024-10-28,2024-11-09,INR 8131
410,900,Varanasi,9,2023-08-11,2023-08-20,INR 43540
411,619,Dubai,12,2025-05-27,2025-06-08,INR 86295
412,882,Bangkok,9,2025-02-24,2025-03-05,INR 59291
413,724,Goa,6,2025-03-31,2025-04-06,INR 123750
414,390,New York,15,2023-10-29,2023-11-13,INR 143280
415,147,Bangkok,12,2024-04-01,2024-04-13,INR 78051
416,547,London,13,2023-10-24,2023-11-06,INR 53790
417,922,New York,13,2023-11-26,2023-12-09,INR 18654
418,205,Sydney,15,2024-07-05,2024-07-20,INR 16502
419,263,Mysore,14,2025-06-18,2025-07-02,INR 23996
420,953,Bangkok,3,2023-09-16,2023-09-19,INR 5358
421,500,Leh,8,2025-04-06,2025-04-14,INR 46575
422,301,Singapore,6,2024-08-05,2024-08-11,INR 144156
423,583,Dubai,3,2024-04-23,2024-04-26,INR 23994
424,919,Bali,10,2025-04-21,2025-05-01,INR 143452
425,213,Varanasi,7,2025-03-22,2025-03-29,INR 53741
426,234,Varanasi,13,2025-07-28,2025-08-10,INR 82408
427,922,Kerala,3,2024-12-02,2024-12-05,INR 26329
428,685,Manali,2,2025-05-20,2025-05-22,INR 136931
429,327,London,6,2024-01-03,2024-01-09,INR 104718
430,906,Agra,11,2023-12-05,2023-12-16,INR 102479
431,571,Kerala,2,2025-06-12,2025-06-14,INR 102515
432,244,Rishikesh,3,2025-05-26,2025-05-29,INR 137111
433,770,Dubai,10,2024-03-29,2024-04-08,INR 149484
434,737,Tokyo,10,2025-03-25,2025-04-04,INR 91963
435,152,Sydney,6,2025-04-26,2025-05-02,INR 83169
436,424,Sydney,6,2024-04-06,2024-04-12,INR 76916
437,301,Singapore,15,2024-04-10,2024-04-25,INR 80792
438,139,New York,14,2024-02-24,2024-03-09,INR 39945
439,112,London,11,2024-12-11,2024-12-22,INR 35075
440,45,New York,6,2024-03-02,2024-03-08,INR 110132
441,109,Kerala,12,2024-11-03,2024-11-15,INR 139224
442,891,Leh,11,2025-01-11,2025-01-22,INR 148917
443,636,Goa,8,2025-02-22,2025-03-02,INR 19019
444,50,Agra,14,2023-10-11,2023-10-25,INR 37287
445,932,Manali,10,2025-04-25,2025-05-05,INR 79163
446,760,Kerala,14,2025-07-05,2025-07-19,INR 67976
447,544,Shimla,6,2025-06-28,2025-07-04,INR 33231
448,218,Varanasi,13,2023-11-22,2023-12-05,INR 13381
449,337,London,14,2024-06-11,2024-06-25,INR 28013
450,693,Singapore,12,2025-05-04,2025-05-16,INR 99492
451,954,Bali,7,2024-02-11,2024-02-18,INR 68660
452,420,Sydney,2,2024-12-12,2024-12-14,INR 52229
453,580,Shimla,4,2025-04-21,2025-04-25,INR 114663
454,50,Agra,12,2023-08-26,2023-09-07,INR 39264
